1995,https://www.atptour.com//en/scores/1995/451/MS001/match-stats?isLive=False,e004,l206,Stefan Edberg,Magnus Larsson,5,2,58,3712,64,30,37,18,27,5,1,68,48,71,34,48,9,23
1995,https://www.atptour.com//en/scores/1995/451/MS002/match-stats?isLive=False,e004,l014,Stefan Edberg,Henri Leconte,5,4,54,3618,67,26,36,15,31,3,2,61,45,74,26,45,10,29
1995,https://www.atptour.com//en/scores/1995/451/MS003/match-stats?isLive=False,l206,s351,Magnus Larsson,Michael Stich,4,1,69,4209,61,29,42,13,19,5,2,69,36,52,23,36,7,16
1995,https://www.atptour.com//en/scores/1995/451/MS004/match-stats?isLive=False,e004,a203,Stefan Edberg,Karim Alami,0,0,68,2312,34,22,23,6,11,3,1,64,30,47,16,30,3,17
1995,https://www.atptour.com//en/scores/1995/451/MS007/match-stats?isLive=False,s351,s381,Michael Stich,Jan Siemerink,5,3,56,2520,45,23,25,10,20,1,1,66,33,50,16,33,9,17
1995,https://www.atptour.com//en/scores/1995/451/MS006/match-stats?isLive=False,l206,z045,Magnus Larsson,Markus Zoecke,10,4,66,5940,90,50,59,16,31,15,6,57,56,98,46,56,21,42
1995,https://www.atptour.com//en/scores/1995/451/MS005/match-stats?isLive=False,l014,s015,Henri Leconte,Javier Sanchez,2,5,51,4947,97,37,49,23,48,3,2,74,66,89,44,66,11,23
1995,https://www.atptour.com//en/scores/1995/451/MS008/match-stats?isLive=False,e004,v166,Stefan Edberg,Adrian Voinea,0,5,64,5696,89,42,57,18,32,3,0,58,54,93,30,54,25,39
1995,https://www.atptour.com//en/scores/1995/451/MS015/match-stats?isLive=False,s351,g297,Michael Stich,Oliver Gross,3,4,53,4081,77,32,41,20,36,4,2,49,31,63,23,31,19,32
1995,https://www.atptour.com//en/scores/1995/451/MS013/match-stats?isLive=False,l206,b446,Magnus Larsson,Jonas Bjorkman,9,1,67,4422,66,32,44,14,22,0,3,49,35,71,24,35,16,36
1995,https://www.atptour.com//en/scores/1995/451/MS014/match-stats?isLive=False,s381,f035,Jan Siemerink,Guy Forget,4,2,60,4860,81,39,49,17,32,1,4,64,51,80,37,51,14,29
1995,https://www.atptour.com//en/scores/1995/451/MS009/match-stats?isLive=False,a203,e121,Karim Alami,Younes El Aynaoui,2,7,55,4235,77,30,42,18,35,2,1,58,37,64,24,37,12,27
